GSM_ID	SRR_ID
GSM307139	SRR050357
GSM307141	SRR015150
GSM307143	SRR015156
GSM307145	SRR015154
GSM307137	SRR015151
GSM307138	SRR050356
GSM307140	SRR015149
GSM307142	SRR015155
GSM307144	SRR015153
GSM307154	SRR015158
GSM307155	SRR015157
GSM288345	SRR002004,SRR002005,SRR002006,SRR002007,SRR002008,SRR002009,SRR002010,SRR002011
GSM288346	SRR002012,SRR002013,SRR002014,SRR002015
GSM288347	SRR002023,SRR002024,SRR002025,SRR002026
GSM288348	SRR002020,SRR002021,SRR002022
GSM288349	SRR001988,SRR001989,SRR001990,SRR001991
GSM288350	SRR002031,SRR002032,SRR002033,SRR002034
GSM288351	SRR001985,SRR001986,SRR001987
GSM288352	SRR002035,SRR002036,SRR002037,SRR002038
GSM288353	SRR002016,SRR002017,SRR002018,SRR002019
GSM288354	SRR002000,SRR002001,SRR002002,SRR002003
GSM288355	SRR001992,SRR001993,SRR001994,SRR001995
GSM288356	SRR002039,SRR002040,SRR002041,SRR002042
GSM288357	SRR002043,SRR002044,SRR002045,SRR002046
GSM288358	SRR001996,SRR001997,SRR001998,SRR001999
GSM288359	SRR023866,SRR023867,SRR023868,SRR023869
GSM288360	SRR002027,SRR002028,SRR002029,SRR002030
