TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NELFB	1	1.33507111389e-14	0.000103124171385	0.000107028428364	7.88253736423e-46	2.19131772493e-15	4.75158e-28	0.448010118714	1.16039991677e-15	1.91078799743e-07	4.14658848026e-23	5.06423428846e-05	0.241229388171	1.51041653645e-07	6.27797213692e-21	1.32231055001e-23
NELFA	4	0.000227665450216	0.0235455590803	0.0563978754009	5.81732789001e-06	0.0172497180064	0.00167136211211	0.0474031233199	0.0457336859269	0.0189146301503	2.23362299146e-07	0.000219301918034	1.86935714222e-05	1.47825435697e-07	6.68111745754e-07	1.21682487135e-06
MEN1	3	2.00625719329e-10	0.0122534007935	1.02638139627e-08	3.16172663629e-33	6.31537044378e-09	7.49909012459e-17	0.025456909047	5.87154073846e-14	0.000113090912869	6.92961010895e-21	0.00043556499831	0.24731396302	0.000186360089747	1.61179420559e-10	2.39804315704e-13
NELFE	2	1.22008846194e-14	1.80168669131e-06	0.00121818811203	3.58254347194e-41	5.73363087674e-14	2.06044696878e-31	0.103131858846	7.56966434794e-20	1.09692386537e-10	2.38885128462e-32	0.000214940619229	0.187625031601	2.42033674872e-12	6.61819765199e-17	1.31960011321e-08
HSF2	3	0.000673314229219	0.112048423309	0.031013908108	0.000670649597227	0.00168902495849	2.79169753595e-14	0.00061609020505	0.000182067335704	0.0128391739115	0.260046624704	0.20333578485	0.0112797779588	5.65987189623e-05	0.00476890148783	0.000154483744597
LHX2	2	0.00903782649161	0.159818247402	0.000153404824114	0.0278024663809	5.13034467665e-08	0.399715688109	0.098670664869	0.00113844856614	0.135550900289	0.0328018948362	0.000718960373911	0.171090486913	0.0530042779966	0.00211081574205	0.252496102253
LHX3	2	1.59174487251e-07	0.370088023119	0.0615102763684	0.0393512476461	0.000361722082812	0.102878633256	0.000160104363265	0.300003908908	9.14131459716e-05	1.01320289488e-17	1.56539078035e-18	1.31758159478e-07	1.01089647101e-08	1.518141393e-16	1.42778448234e-14
NR0B1	3	6.11686890565e-07	0.170445139905	5.81785468993e-08	0.00696312011279	0.00609712490682	0.24452229242	0.000942793737453	0.0279774865262	0.00929871636277	0.00324698955104	1.90782604432e-17	7.50664007861e-11	4.52040674015e-17	2.86759988262e-10	6.74533901287e-13
STA5A	22	8.8846286543e-08	8.49360956463e-05	0.252406229615	2.30540672969e-34	5.35357746112e-08	7.09472815645e-10	0.155940375674	2.94964545327e-16	0.356636825165	0.00186754147754	3.98047399446e-07	2.91969699045e-16	0.176555887283	0.0460037822438	0.351768549327
STA5B	17	8.75621209122e-15	4.20506092091e-11	0.223952652006	5.96105615493e-59	0.000385801831742	2.30696332434e-16	2.99588622702e-06	1.29865858074e-28	0.161899369065	0.462397462284	8.62014250278e-23	4.02919968931e-32	0.458284838498	5.25904394479e-09	1.27854109858e-12
