TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NELFB	1	5.48184380203e-14	0.000386928709163	0.000445788132821	1.49111331807e-44	2.07262134816e-14	6.74130412499e-27	0.465438429968	5.72632132839e-15	5.94176541667e-07	1.37412494163e-22	9.78366964664e-05	0.28446270709	3.64749525291e-07	3.06473048404e-20	9.09589378339e-23
NELFA	4	0.000400504248536	0.0424193802478	0.0937898733774	1.00040411442e-05	0.0253442458734	0.00273934440035	0.0714983986287	0.0591541122816	0.0271748167349	3.62166013615e-07	0.00039825228315	5.54698132399e-05	3.58891699499e-07	1.29073503222e-06	2.32117013274e-06
MEN1	3	6.06442851495e-10	0.0243161527712	1.6642041211e-07	2.65819239421e-32	2.20907155152e-08	3.78287435174e-16	0.0417235982214	2.56315336083e-13	0.000231276011003	2.05623724802e-20	0.000760563497049	0.290130592277	0.000331794042138	4.02062950186e-10	6.76218380929e-13
NELFE	2	5.12599312287e-14	1.06229319202e-05	0.00395041002044	4.92871132201e-40	4.00472064314e-13	3.74177169531e-30	0.137307518816	5.05386413819e-19	5.41308081392e-10	1.20916387809e-31	0.00039202294192	0.23530874129	9.47269727516e-12	2.54632350339e-16	2.76082235667e-08
HSF2	3	0.00115485803712	0.155565700863	0.0577062060698	0.00101154457522	0.00293799743737	1.16278044158e-13	0.00162619158775	0.000328010200038	0.0193653985243	0.281098018133	0.233707459043	0.0204024669055	0.000104454546378	0.00670303800457	0.000249592953904
LHX2	2	0.0136492672763	0.208498518163	0.000605615566504	0.0357937432337	1.6287947435e-07	0.417174534256	0.132143014308	0.00185252920798	0.167228556334	0.0399250945192	0.00121794033491	0.220667843916	0.0661097313474	0.00310132798347	0.281640847003
LHX3	2	3.54038815111e-07	0.401961632766	0.100814676792	0.0496262956426	0.000690007670574	0.125556181447	0.00048783477129	0.331391179183	0.000193030550098	2.59883680382e-17	8.77391869478e-18	5.38902742371e-07	2.7814969566e-08	5.64947698708e-16	4.630101107e-14
NR0B1	3	1.54035797785e-06	0.21921272951	7.3369611923e-07	0.00966745116577	0.00954515416446	0.267501495804	0.00232624106959	0.0369237758224	0.0145573007886	0.00427285001789	9.95578188647e-17	4.80002055731e-10	3.25756295242e-16	7.07549101473e-10	1.8120614863e-12
STA5A	22	2.11270283174e-07	0.000332422305374	0.317430549155	2.09330931056e-33	1.66474258038e-07	2.22138385036e-09	0.194497061967	1.5217489043e-15	0.386427490752	0.00249371714942	8.90214381028e-07	3.89865421667e-15	0.201905221226	0.0575364108504	0.375771579752
STA5B	17	4.4477065789e-14	9.09094122901e-10	0.292168114974	5.41263898867e-57	0.00072595176248	1.13843624919e-15	1.37387105764e-05	2.05766886405e-27	0.196006169481	0.473879114846	7.67361705149e-22	2.6132237985e-30	0.47072696081	1.19980198539e-08	3.35524658241e-12
KDM2A	2	1.65882181181e-20	0.11229844404	0.052528091954	6.10710695e-11	2.01770381217e-06	1.08476223563e-07	6.84698098185e-06	4.74401899438e-09	5.14081722121e-17	1.15436502096e-67	3.22454554499e-35	1.09231580317e-14	3.72129061069e-23	8.40660217699e-49	7.13266425546e-37
KDM2B	14	1.27883231858e-19	0.312762505496	0.482206807363	2.40566671121e-15	1.25262724128e-10	1.1976655118e-09	0.0051510146392	1.1194174247e-08	4.01132454462e-10	3.42817226685e-52	2.83292690805e-37	1.61677612041e-13	2.9074704459e-24	2.63802325023e-46	2.06364553091e-41
WDR5	4	4.58837554742e-14	0.03190219963	5.92857326724e-06	1.09104430905e-21	2.01490615495e-07	2.9691360331e-08	1.13866476669e-08	7.52890793543e-07	1.59576569798e-19	1.42334805269e-42	3.78441846781e-14	0.00451915439624	9.51710596658e-15	3.37425393368e-22	1.3886095877e-19
PIT1	3	1.84956625143e-10	1.78393610508e-07	0.49097739765	1.40687294665e-28	2.52164280414e-05	2.84794168295e-13	0.272281431179	0.000865059693148	1.2485527524e-09	3.75328510506e-18	4.64427290769e-06	0.00894263092072	2.46167382457e-12	1.60978786237e-18	3.41038501319e-18
EHF	1	2.31631666764e-12	0.000151627101472	1.08774064668e-07	0.000293837319041	0.0926099999244	0.00346427680624	9.12990053332e-10	0.0519873619135	4.01427762368e-14	1.62745417437e-41	2.00305196017e-22	2.25636361029e-13	8.98515284534e-07	7.91180851554e-23	8.26245105522e-19
GATA6	6	0.0461459660332	0.270758169657	0.406447288662	0.037502672202	0.119127434068	0.21512654279	0.286402870376	1.48959197569e-06	0.00808285895112	0.0519525172365	0.222193054029	0.276113362175	0.376012790854	0.474582875584	0.000957127333253
GATA4	15	1.30106984295e-12	0.138919443204	0.0275218674909	1.35719243546e-13	5.56339880545e-10	2.86922485304e-05	0.00660592257202	4.70198107924e-11	3.53874784476e-06	8.3692976896e-45	3.42497331623e-19	0.221631623998	1.85061762647e-10	5.35606102826e-27	6.94731972235e-21
GATA2	22	1.33028021062e-05	0.0385352804418	0.151164598501	1.28238442652e-11	3.41057715704e-05	0.0529271095013	0.00276219399657	1.47181229262e-14	0.00564291034526	1.14588775814e-12	0.00164158900867	0.120534668766	4.24991832472e-07	1.02194717941e-07	0.0178415933793
GATA3	19	0.000306344247281	0.00162222701251	0.0229893464626	7.39280694328e-10	2.78047021769e-05	0.105392155908	0.0192323015403	3.4753752683e-11	0.0759464480821	0.00159439466811	0.315300545222	0.0101763173848	5.6039702667e-09	0.195261195061	0.00279253520956
GATA1	49	1.1462099119e-07	0.00573596984427	0.244989610574	1.1767429696e-08	2.07594160445e-08	2.90073963123e-05	0.000229801261183	3.2616949917e-16	8.67165157668e-05	1.24061607395e-30	0.00132420348758	0.20415998791	9.10217808958e-06	3.50943874439e-09	9.74304893714e-05
NOTC1	5	7.57775793474e-07	0.0883630220668	0.0878770312604	6.79258283663e-10	0.000543929890201	0.00125005372371	0.256269142531	6.67791228557e-05	0.000285455227604	4.48886262256e-22	1.51882031786e-12	0.0107049613722	5.03900319774e-05	2.06980386018e-11	1.54362227636e-10
CCND1	1	4.29058695403e-13	0.179984250065	0.406447288662	5.990381342e-12	1.47267573101e-08	6.63222929978e-06	0.178713945525	1.92876576565e-08	3.63532207412e-05	4.90047330634e-34	5.42772220608e-22	1.51127425711e-11	2.33984622316e-22	6.54728312857e-23	2.16943107204e-26
MAX	7	2.56445054466e-14	0.000113097884275	0.0302985073686	1.48633881366e-24	1.85136646178e-09	9.58288170675e-20	5.87498243871e-07	1.1626485491e-07	7.18560891751e-17	3.33525801303e-37	6.83287516576e-11	0.00937819115242	4.15194534724e-14	1.59877443191e-24	8.45530176719e-19
MAZ	2	1.44721025585e-10	0.467453857634	0.354541872371	7.59756758453e-24	5.40444603216e-06	2.10253719046e-07	0.265629064812	5.06422262941e-26	0.0171297031921	2.81027824545e-32	8.12216622524e-07	0.0458523993905	3.45524985107e-18	7.70289506503e-12	1.92491783273e-07
AHR	11	0.0496986653424	0.0110821350875	0.0298878968843	0.303823706136	0.482981777989	0.0237929684286	0.0276816423922	0.015401983469	0.00175701654975	0.436420474542	0.00942908221168	0.0104961308069	0.17433823766	0.293370886174	0.293054596956
CSN1	2	1.07152337453e-14	0.187901449551	0.00169451615567	8.16144075016e-23	9.87141674498e-05	4.46805388868e-06	1.07782171813e-10	1.30651071827e-10	8.83770536831e-13	4.59592377268e-52	9.6946578737e-17	0.00128172264074	1.84945052245e-11	3.42768014316e-29	5.09378643092e-20
MAF	6	9.1078060155e-11	3.85783214713e-07	2.4154133797e-05	2.48888699631e-27	1.04146658181e-08	7.82687275906e-19	5.14904846307e-06	7.82044977181e-25	0.240552406682	0.0336413102517	8.95165327667e-15	2.71838449123e-19	0.344552888521	0.0293467321013	1.78298678921e-11
CTCF	116	1.87570018199e-13	0.00989122673113	1.41658675101e-07	1.25515193292e-26	3.68028517708e-19	1.14801511011e-10	1.01645854827e-07	7.4252339732e-35	4.1206466702e-05	1.68307205826e-28	1.22579730488e-12	0.226946296847	4.68101470911e-05	1.72939904721e-13	7.6177074912e-13
ATF7	1	0.000631558919298	0.456627622334	0.0248750989172	7.63704650412e-06	0.151821457269	0.0851854717292	0.0556241242237	0.0341074105698	0.00409544434991	0.0169240304133	0.0206015860753	0.0811882469017	8.15588795277e-08	5.8234769395e-07	1.37049958502e-13
BACH2	1	7.26928623909e-06	0.0373871970339	0.0121243515293	2.06944312965e-12	0.0831107906762	0.00463911787711	0.0142669688226	7.60880240195e-13	0.361839846347	0.0816427062569	2.70803355924e-12	6.29073292774e-11	0.423315618294	0.000519474796677	2.64783656042e-13
SOX17	8	5.3596114342e-11	0.00219861515702	0.284144254467	4.40626409418e-10	3.21938793429e-05	0.00107582247862	1.26563352167e-05	0.0200108282953	9.612849404e-13	1.78446189297e-19	1.03797694133e-14	2.24940831116e-05	1.75271974957e-22	1.45259249817e-21	6.55464225761e-26
ZIC2	2	1.67857826806e-07	0.000563651557018	0.00319938786342	0.0345010837757	0.462598508975	0.177640843851	5.23439673735e-07	0.0176834518235	2.95649045145e-14	3.60861757758e-12	7.17874631857e-11	1.29570802631e-08	1.81883025442e-08	7.20259069927e-11	2.29159183471e-18
ZIC3	2	0.00721754376934	0.00416391804622	0.125698948096	0.00517037628467	0.0328314192524	0.0850243721416	0.0156792502129	0.00663522227767	0.00330975221122	0.00862767613683	0.000890358790499	0.0186552702445	0.0011913074604	0.00388625315393	0.000603213819706
DMAP1	2	3.38146708697e-10	0.00865091061315	0.0228934705898	4.07191734722e-15	2.35054693099e-06	4.74710228536e-13	1.5427201149e-05	0.0151062496711	1.72774038221e-21	2.36981013976e-18	8.03704952463e-08	0.0120890252013	2.33640560114e-07	1.92769745587e-19	6.80129318193e-18
NFIL3	1	0.00838750967252	0.000194613394043	0.244465079765	0.134476485304	0.190723639966	0.188988165823	2.86530962308e-13	0.311076500699	0.000638703721418	0.0425964373438	0.0218766675121	0.229091110788	0.416130765607	0.0814122700104	0.0898187175209
NR1H2	1	0.132710017738	0.366489013182	0.191968831659	0.0728005187802	0.00881190724764	0.0328506745336	0.200362436044	0.457314417217	0.198436251646	0.46033257235	0.496754843667	0.00282478126588	0.33798506775	0.187435198862	0.476444173424
PEBB	5	2.0237900457e-07	0.00171104174244	0.00902276678857	2.05506870769e-14	0.0018105150882	1.06488749658e-08	0.0163590073384	8.3066685635e-10	6.67528784602e-09	1.52649863917e-25	0.0170228438883	0.30021114801	3.80361926725e-07	4.83992250834e-10	0.00242627034013
PPARA	4	6.81169484801e-06	3.88997498037e-11	0.0298434246227	0.0346237311169	0.00391172614874	3.69633376786e-18	9.64373617681e-11	0.0116487163413	4.46667835619e-06	0.0663131800261	0.272174106396	0.0794921407118	0.00265396012886	0.000855720761614	4.87257165353e-14
ING1	2	1.19775107102e-17	0.0114937286565	0.000946781944671	7.68359995234e-51	3.54267717182e-15	2.92419365458e-20	3.00577417217e-07	2.56960788291e-17	2.4401024188e-18	3.80634012551e-47	1.15264607604e-08	0.0767357074413	2.4853189174e-10	3.72259949836e-25	2.45956224638e-18
PHX2A	1	0.00327505978722	0.0624748831288	0.29743457765	0.013335519214	0.462598508975	0.227005972698	0.113550818119	0.338520769497	0.209881127538	8.34745099211e-07	1.55229048628e-07	2.24940831116e-05	0.00460340580719	0.000488203167361	1.18767306603e-05
PSIP1	3	0.000793144481966	0.00041147231175	4.6929229767e-05	6.77658660039e-06	0.394863281319	1.03141031078e-05	0.256269142531	0.379934806878	1.11264998814e-05	0.189462460926	0.000399414998236	8.98499932171e-08	0.417307196425	0.0298078469133	7.98441325184e-07
TFAP4	1	2.30518912706e-11	0.0131479856641	0.0871400183422	3.31084748267e-28	2.52745521646e-13	5.96100798202e-27	0.032356753247	8.69920523293e-24	0.13908821951	1.5468512415e-25	0.00833136869305	0.383546979179	5.75918278312e-12	3.03867955417e-12	6.18170903848e-05
PTF1A	8	1.97185326135e-05	0.0466401625335	5.92857326724e-06	0.000564228415422	1.69236843221e-07	1.26099396916e-09	0.329133278423	1.28612805568e-09	0.00215480065751	8.27840746311e-05	5.85725043942e-07	0.14257591062	0.0189908122174	1.20194862781e-05	2.80344395431e-11
RING2	44	1.27100584081e-18	0.00069574967609	0.169739125016	2.00613450282e-05	1.65312570576e-07	0.373654174995	1.67008662362e-06	0.000609385054494	1.17137272043e-08	1.02043292497e-46	3.66158088671e-48	3.52617476231e-19	3.5027915236e-27	1.90070181568e-42	1.87622017322e-38
RING1	2	3.91885454888e-10	0.278555499203	0.461727847862	2.72046176606e-09	1.49855872728e-07	0.000571152825518	0.0928771414483	0.000329645318783	3.18608485473e-08	4.81302763518e-31	5.70946562769e-20	0.000140327439788	6.88740622522e-11	6.67631527245e-21	3.88955080958e-17
PRDM4	4	0.0142168567913	0.000320086225481	0.000584333023855	0.0281145724058	0.170833240768	0.000165793993573	0.00187654611709	0.494732096244	0.000466021355137	0.00231353041266	0.44076666163	0.468534013303	0.00960201623024	0.291148365153	0.160108045784
PRDM5	1	0.000488026872992	0.0295986938486	0.461466034211	0.221447744925	0.320127665729	0.058665275347	0.238322122097	0.0660968015981	0.0671365615576	1.85792457168e-08	1.61256495531e-11	3.86233079105e-07	5.00935074226e-06	6.3837563767e-06	0.000195554602285
CBP	14	1.58786321881e-09	4.30584629646e-12	1.73324546708e-09	1.195319477e-34	3.15377644523e-07	3.37904176206e-14	0.0631959769093	1.64264440833e-19	0.0271748167349	3.74028430467e-05	0.0953935542537	0.0910986184831	0.0107359282359	0.000738323148625	9.37421804224e-17
PRDM1	3	0.0226578776365	0.159257658185	0.425747497192	0.0923247556874	0.0190981192851	0.279023204063	0.00675722703876	0.000353403415046	0.214631686582	0.000115420946913	0.0370840215138	0.241655181276	0.00024653689229	0.00724304837395	0.297621086019
