TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NELFB	1	-0.122931150238	3.71197034274	-3.70254708821	14.1993153584	7.85026497564	10.9349471702	-0.130692120982	7.92956327507	-5.07941169236	-9.84346408824	-3.88832552717	0.70236713122	-5.12395892424	-9.32271336915	-9.95835154625
NELFA	4	-1.16558255105	1.98696749225	-1.58653511396	4.39696295868	2.11624106002	2.93865857769	1.67146157519	1.68873182665	-2.0784015778	-5.06659843863	-3.52303810274	-4.13370631169	-5.14631580669	-4.85342478722	-4.72915906642
MEN1	3	-0.33478255767	2.24929726797	-5.61029500892	11.9778749305	5.69394037021	8.26512836336	-1.95234500922	7.42588547458	-3.68862522091	-9.31352989826	-3.32974452147	0.682981489786	-3.55940375088	-6.29141838774	-7.23670190641
NELFE	2	0.0222866482717	4.63449324315	-3.03156858699	13.4204981805	7.42877809929	11.6217780474	-1.26395102088	9.05429010561	-6.35071051791	-11.8060687156	-3.52169444749	0.88670382553	-6.91479513303	-8.27948163456	-5.56625836924
HSF2	3	1.05957184219	1.21802492289	-1.87301930952	3.23734767886	2.96147407037	7.87094883525	3.26101733141	3.60289894981	2.24187941823	-0.643893647271	0.830851434755	2.29216350174	-3.91063010992	-2.60793336801	-3.64712391786
LHX2	2	-0.412938644277	0.995521204252	-3.61659392949	-1.91536311861	-5.34351066142	-0.254120154583	-1.28965426889	-3.05585719679	-1.1008754968	1.84224021541	3.19180950589	0.950112609742	1.61721476729	2.86472306099	-0.666787556862
LHX3	2	-3.21812783014	0.331654719651	1.5426722611	1.75889119535	3.38445205189	-1.26560512442	-3.60306934866	0.524457552073	-3.74694373731	-8.55001640819	-8.77167131743	-5.16071811517	-5.62711292896	-8.22555658	-7.64522384186
NR0B1	3	-2.93277996549	0.952538362682	5.31103606695	-2.46042087764	2.50782656132	-0.691904636373	-3.11005718841	-1.91202488407	-2.35465562127	-2.72339219914	-8.4619211349	-6.42470445435	-8.36009434765	-6.21554703806	-7.11559812601
STA5A	22	3.27917877626	3.7607342499	-0.666948327318	12.1887228109	5.3161399666	6.05593726909	1.01130701091	8.09761518772	-0.367467855907	-2.90002303201	4.93776428274	8.09889089822	-0.928590243376	1.68497583743	-0.380555187333
STA5B	17	6.12521887712	6.49642395186	0.758926180464	16.1966359843	3.36328418432	8.12761289006	4.52781822257	11.0507790326	0.986704614719	0.094396695811	9.76803547242	11.7584298153	-0.104756922094	5.72442207964	7.00435207775
KDM2A	2	-5.03739740821	-1.43127188463	-1.91659627793	6.56850849082	4.80446344482	5.36660045373	-4.70804909725	5.9168937139	-8.63161534787	-17.7689593349	-12.6148552183	-7.96661148239	-10.1988099871	-15.0491821372	-12.8940790506
KDM2B	14	-4.0571702027	0.610681196154	0.117445030094	7.96728168968	6.56458935747	6.159440174	-2.83511707625	5.76615599665	-6.39686516835	-15.4168837203	-12.975519606	-7.60851912263	-10.4627210129	-14.5752383794	-13.7151121961
WDR5	4	-3.12185825154	2.12679313124	-4.80867171145	9.6425716507	5.27497288794	5.60398315247	-6.00804354412	4.98318413792	-9.30376805002	-13.828802305	-7.67300406952	-2.85850934728	-7.89055273577	-9.80031323205	-9.16585548666
PIT1	3	-1.15074073596	5.516260044	-0.0796286165864	11.2250119702	4.23535991705	7.40439553043	-0.731975083341	3.28437127217	-6.21562756799	-8.73366920633	-4.5889619063	-2.6161729493	-7.12294368635	-8.88516218125	-8.80162783983
EHF	1	-5.36012153977	-3.97755142757	-5.69821486616	3.55896614405	1.46843077656	-2.85232315648	-6.45082025572	1.75396888259	-7.76512601188	-13.6875321642	-9.92816664271	-7.57085073969	-4.94560214283	-9.9692738721	-8.97760608073
GATA6	6	0.14431443542	0.765993601031	0.361880752966	1.89240301803	1.3139132695	0.884922432162	-0.685080773973	4.8456910021	-2.58515803204	-1.70544717398	-0.871163340493	0.731258783537	0.391135037112	-0.0926705400646	-3.22727593999
