TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NELFB	1	3.50336950942e-14	4.52743261406e-06	0.0113723431909	2.71351098026e-40	5.20653837562e-23	2.43899153366e-23	0.254047996565	4.76591350614e-14	0.000199623220618	1.2881940668e-29	3.00599846015e-09	0.0501161743872	6.65277404597e-06	2.76579626327e-20	2.74010012629e-16
NELFA	4	0.0112545251438	0.276139511959	0.387010860965	0.000564357707934	0.0565810022913	0.00294536354987	0.244067162983	0.0849556087833	0.171055216625	0.00145767404927	0.00157831437651	0.0248188543441	0.00222545743639	0.00114154743378	0.000101152843875
MEN1	3	1.26231492972e-09	0.000273922246063	0.000654304696924	8.95393241542e-29	5.82686768771e-16	1.55161984432e-14	0.240898910435	1.37704492697e-09	0.00154502954519	2.26985512302e-20	1.34147196251e-05	0.0342944225591	0.00506727512482	9.25333504517e-12	7.16325954505e-10
NELFE	2	4.91170273185e-14	4.79181946051e-07	0.000266316518963	1.01379579776e-35	1.72329231749e-22	4.54532813946e-30	0.0506960128669	2.83293123406e-16	4.65334298438e-05	2.05740735214e-31	9.87035115224e-06	0.00441134535289	3.79348777608e-08	1.4263873087e-17	1.44877452993e-07
HSF2	3	0.283861959743	0.19922573963	0.314940944048	0.0252373042709	0.445597344037	0.473648129115	0.326176747452	0.493095232129	0.434010633248	0.265043015486	0.343561625302	0.253126607787	0.203284606817	0.407559436131	0.495046926794
LHX2	2	0.0003719221694	0.0170559795029	0.0278823718597	0.00189139440299	1.04884524182e-09	1.24132848061e-07	0.00137674437963	3.29054847269e-07	0.00829741684653	8.74139907134e-05	0.000724274767801	0.459161964441	0.168663436097	9.94431311199e-05	0.00451473081701
LHX3	2	0.0404583322079	0.422264693541	0.413915083894	0.0219151551506	0.00644613586446	0.278363919022	0.0335140988585	0.426496041117	0.0612750679053	0.00342615126867	0.00162383115971	0.0365260227012	0.0375720111824	0.0171646668986	0.0399100922137
NR0B1	3	0.036783623411	0.466839957441	0.0753414260214	0.0889567767537	0.036788934098	0.261041630661	0.106950564595	0.125213860529	0.0386911505086	0.00260025230229	0.00307989204703	0.119276564754	0.0348439237828	0.00996869969146	0.00160707604448
STA5A	22	8.59968869881e-10	5.81517160265e-05	0.134677456766	5.34759662921e-33	9.64613878983e-23	1.31728499266e-16	0.0173401114065	3.71174771893e-28	0.00433038278635	3.35754676726e-05	0.0318890280555	2.67039781329e-12	0.159812093993	0.0542003683607	0.329382919605
STA5B	17	5.39801773938e-15	9.19780610022e-08	0.468895557297	8.41502940067e-44	4.63235146843e-26	1.97811964937e-28	3.82299384414e-08	4.73565599141e-40	0.0001346986163	0.00369207461637	3.67842013845e-09	2.8234328777e-26	0.0377561361181	0.260492200569	5.83138643662e-08
KDM2A	2	1.20189012329e-12	0.391464858182	0.0113014092476	8.8480839699e-19	6.81251491017e-07	0.000231169658003	0.120843685314	1.06514809331e-07	3.82782826256e-05	4.28919021666e-36	9.22077516461e-25	3.65909510719e-06	9.57922034745e-12	6.07108768518e-26	5.13445446952e-24
KDM2B	14	1.44328240826e-14	0.0548405366844	0.320680321882	7.96086415853e-19	8.9535836581e-13	5.80308903108e-07	0.304939629343	5.83700621026e-08	0.0018040175449	8.91464319303e-36	2.73720282703e-31	4.14962512394e-08	1.77950375228e-13	1.42360310773e-29	2.84037498393e-31
