Gene Symbol	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
Plekhg2	-0.092309943	0.170077482	0.114536582	0.103615706	0.167993358	0.190756585	0.404738793	0.165064397	-0.344998705	-0.355620169	-0.073518926	-0.299748371	-0.6305022	0.047007788
Plekhg3	-0.171583917	0.072925218	-0.192373566	0.229941087	-0.032221268	0.016994364	0.132309671	0.110342366	-0.100539905	-0.173413831	-0.030605637	0.107423629	-0.002513344	0.224251623
Plekhg1	-0.179144825	-0.023958517	0.093932804	-0.094006137	-0.168527939	0.15960797	-0.076855997	-0.061342094	-0.19395599	-0.225634214	0.012746016	0.049078072	0.062346679	0.09053779
Hspbap1	0.111242929	0.157039291	-0.11097327	0.502805327	0.098236616	0.153030527	0.190294819	0.200921505	0.02937806	-0.397544298	0.05677954	-0.118600726	-0.367872881	-0.087259309
4930592I03Rik	0.050620751	0.114373463	0.12914061	0.011426445	0.040767896	-0.026966224	-0.012061634	0.012488488	-0.025854425	-0.065603478	-0.060662328	-0.061306835	-0.021387928	0.074690278
4930564K09Rik	-0.062369894	0.070514678	0.028379667	0.028165718	-0.029414927	0.017294053	0.0381398	0.022697205	-0.00774548	-0.048071576	0.023131014	-0.071533348	0.022482944	0.023590526
Plekhg5	-0.138133764	-0.113573148	0.060864323	0.149494499	-0.044699093	0.200769368	0.325331294	0.069960814	-0.323157701	-0.460666985	-0.257501646	-0.210743497	-0.385358407	-0.448264985
Nsa2	0.073491339	-0.058153579	-0.108841804	-0.034474977	-0.050045618	0.021235945	-0.074336894	-0.011841501	-0.017725311	0.046219972	-0.037835877	-0.057168993	0.01678782	0.053625834
Glrp1	-0.001955455	0.121347484	-0.145623997	-0.135305747	-0.031103585	0.022198685	0.030752076	-0.004171964	-0.086424881	0.093171717	0.087362842	0.010461798	0.004163543	0.026861146
Zfp846	0.127954557	-0.059159158	0.046915166	-0.22309015	-0.039957455	-0.148078094	-0.067298697	-0.241749509	0.055689	0.076336408	0.007726299	-0.043565237	-0.015664346	-0.140877726
Nampt	0.020083629	0.069276555	-0.024094088	0.045263927	0.148549644	-0.058765624	0.328788675	0.226235505	0.504716375	1.139468937	1.002210036	0.181496737	0.43800274	0.066158647
Ube2d3	0.005111161	-0.050752383	0.073563951	-0.075869948	0.132181844	-0.086149382	-0.158089234	-0.164708338	0.103392592	0.128034461	0.058037782	-0.258249737	-0.092146059	-0.158752128
Bpifb3	-0.063913722	-0.014040589	0.063594241	0.005013648	0.007124058	-0.011923419	0.301729	0.003265248	-0.006263639	0.02868177	0.000724265	-0.060969242	0.045592693	0.134466053
Bpifb2	0.191185846	0.104546295	-0.018867288	-0.02362306	0.058936891	0.093380079	-0.051488754	-0.051290579	0.159928694	0.051626097	-0.139024781	-0.038628445	0.200783795	-0.025818943
Bpifb1	0.95894058	2.800490381	0.267335555	0.798171047	0.129178377	-1.009931526	-1.509072046	-1.793487383	-1.023210302	-1.684964344	-0.416237649	-0.594207242	-1.327168285	-0.112145578
Vmo1	0.186332411	0.056898861	0.01160719	0.110241261	0.044390227	0.279189509	0.189583506	0.135538422	-0.090566861	-0.23402402	-0.069595136	-0.05188974	-0.164850514	-0.245690089
Bpifb6	-0.467230662	0.055954986	-0.302081747	-0.985004306	-0.63972021	-0.229222201	-0.541531452	-0.164246949	-0.187578457	-0.018211799	-0.149928132	-0.189713795	0.057714805	-0.086795296
Bpifb5	0.097501536	0.484381	0.154749355	0.061702035	0.386026249	0.140243025	0.009707737	-0.212755714	-0.214252308	0.1446069	0.286295358	0.113793917	0.025713957	-0.382829929
Bpifb4	0.055544554	-0.02662822	-0.014251814	0.005032535	-0.021240835	0.049732903	-0.011918413	0.071997744	-0.030149349	0.064053454	0.029070003	-0.019511241	-0.023675555	-0.063443193
Plekhg6	0.072076725	0.504081749	0.087012791	0.129754331	0.089651518	-0.213086837	-0.027705712	-0.177412007	-0.191935348	-0.026474957	-0.00103716	-0.015959918	0.023071204	-0.027173713
Shank3	-0.746082298	0.176180683	0.28507254	-0.526019847	-0.296038025	-0.160597584	-0.063099292	-0.374933638	-0.509323653	-0.601873522	-0.496474261	-0.294068167	-0.499854459	-0.499027707
Shank2	0.123750424	0.154054492	0.052367774	0.253826792	0.106784321	0.078362633	0.134621652	0.039358117	-0.099487904	-0.085542378	0.024868994	0.077570327	-0.157835832	-0.152517268
