TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NELFB	1	3.50336950521e-14	4.52743258808e-06	0.0113723432653	2.71351096446e-40	5.20653832012e-23	2.43899152104e-23	0.254047995987	4.7659134902e-14	0.000199623223403	1.28819409679e-29	3.00599845591e-09	0.0501161744841	6.65277398552e-06	2.76579625398e-20	2.7401000834e-16
NELFA	4	0.011254525134	0.276139511868	0.387010861737	0.000564357711968	0.0565810022442	0.00294536354637	0.244067162678	0.0849556085859	0.171055216508	0.00145767403832	0.00157831437903	0.0248188542462	0.00222545743354	0.00114154743105	0.000101152843753
MEN1	3	1.26231493434e-09	0.000273922248278	0.000654304700521	8.95393269791e-29	5.82686769515e-16	1.5516198464e-14	0.240898909709	1.37704493128e-09	0.00154502955414	2.26985512914e-20	1.34147195857e-05	0.0342944226906	0.00506727512071	9.25333507804e-12	7.16325948265e-10
NELFE	2	4.9117026967e-14	4.79181947902e-07	0.000266316521657	1.01379572976e-35	1.72329229151e-22	4.54532804744e-30	0.0506960127392	2.83293120373e-16	4.65334307395e-05	2.05740737833e-31	9.87035110434e-06	0.00441134535148	3.79348772009e-08	1.42638730149e-17	1.44877452191e-07
HSF2	3	0.283861959817	0.199225739614	0.314940943765	0.0252373042227	0.445597343309	0.473648128865	0.326176747903	0.493095232285	0.434010635116	0.265043015121	0.343561625307	0.253126608634	0.203284606879	0.407559436254	0.495046926863
LHX2	2	0.000371922169254	0.0170559795086	0.0278823717756	0.00189139433777	1.04884524174e-09	1.24132848908e-07	0.00137674440489	3.29054851269e-07	0.00829741675978	8.74139909021e-05	0.000724274765192	0.459161963333	0.168663436556	9.94431314541e-05	0.00451473082897
LHX3	2	0.0404583321442	0.4222646924	0.413915083878	0.0219151551676	0.00644613586405	0.278363918804	0.0335140987847	0.426496042352	0.0612750676683	0.00342615127531	0.00162383114977	0.0365260226104	0.0375720109409	0.0171646668877	0.0399100921216
NR0B1	3	0.036783623412	0.46683995718	0.0753414259899	0.0889567771413	0.0367889340878	0.261041630205	0.106950564543	0.125213860243	0.0386911509755	0.00260025228406	0.00307989205129	0.119276564638	0.0348439237662	0.00996869968497	0.00160707604036
STA5A	22	8.59968869967e-10	5.81517166699e-05	0.134677455625	5.34759660161e-33	9.64613868001e-23	1.31728498809e-16	0.017340111327	3.71174773642e-28	0.004330382821	3.3575467771e-05	0.0318890282126	2.67039783179e-12	0.159812093993	0.054200368257	0.329382918888
STA5B	17	5.39801773854e-15	9.19780616842e-08	0.468895559736	8.41502915828e-44	4.6323513959e-26	1.97811964364e-28	3.82299378406e-08	4.73565602256e-40	0.000134698616376	0.00369207460677	3.67842017071e-09	2.82343293227e-26	0.0377561361698	0.260492200851	5.83138651354e-08
KDM2A	2	1.20189012052e-12	0.391464857622	0.0113014092426	8.84808413059e-19	6.81251476371e-07	0.000231169659733	0.120843685283	1.06514808866e-07	3.8278282982e-05	4.28919022938e-36	9.22077517156e-25	3.65909509859e-06	9.5792202101e-12	6.07108762547e-26	5.13445438477e-24
KDM2B	14	1.44328240113e-14	0.0548405369616	0.320680320914	7.96086412595e-19	8.95358343526e-13	5.80308905262e-07	0.304939629076	5.83700616293e-08	0.0018040175629	8.91464307329e-36	2.73720280037e-31	4.14962510005e-08	1.77950375083e-13	1.42360310217e-29	2.84037494646e-31
WDR5	4	6.35960278942e-12	0.00121239668516	0.001284920057	9.16994530527e-30	5.51086817489e-14	2.27499600316e-10	0.371343994551	2.44457526355e-08	8.31527019876e-07	4.76454757814e-30	1.5756616935e-14	0.257772231443	9.89810729721e-08	2.31906492247e-18	2.94774287344e-17
PIT1	3	6.51579395771e-11	9.15079181196e-09	0.499709845104	2.91497285441e-20	2.81446669641e-15	1.10019538819e-18	0.0155190557261	6.61425868897e-08	3.88797919177e-06	4.263271339e-22	5.88671261861e-09	0.352651008838	2.6160678076e-05	5.50178373937e-18	1.18490058526e-16
EHF	1	2.20421793972e-07	0.0641507183218	0.0568394480475	3.16774647728e-10	0.0161046261676	0.386856023657	0.299778972138	0.000621171745566	0.00189308892967	5.16054509605e-19	3.31623059427e-15	1.15313454518e-06	1.11914552217e-07	3.55980321706e-14	3.20438687429e-14
GATA6	6	0.00103091930714	0.0442391702105	0.0817989834985	5.88116900851e-05	6.4470987578e-05	0.00776090413218	0.313472584335	0.00285525743337	0.0160437889674	4.03222946306e-05	0.000223574156157	0.0783577544945	0.00717326571624	7.59695976256e-05	2.60191378811e-09
GATA4	15	3.1796594964e-14	0.0630883901172	0.00851968897439	4.79898858429e-20	5.71854041795e-14	1.82891683995e-06	0.230054450562	4.62019193544e-12	0.00139999015603	3.93426058796e-40	4.70147251476e-26	0.0125999531161	6.5087330989e-11	5.5526046346e-30	3.19338840121e-27
GATA2	22	3.34255816748e-06	0.00277698090549	0.0415763332846	1.39843852463e-14	1.55780140263e-10	7.70072707334e-16	0.000687851338998	5.47988140177e-15	0.390624993638	1.30467080319e-06	0.319131145688	3.91564104888e-05	0.00200223265403	0.00493844188652	0.472711405846
GATA3	19	4.40507422727e-05	0.000358194824278	0.167354827036	1.9269712003e-11	4.13774034698e-08	2.83631088805e-05	5.87831763452e-05	1.35666108365e-11	0.077370961995	0.10053104444	0.00254371970321	4.66913447374e-08	0.0877057357708	0.461683204762	2.56162218547e-06
GATA1	49	4.14519675742e-12	1.10894536858e-05	0.346863500152	1.26422834855e-26	1.15862135623e-15	1.75577082406e-35	4.83724435674e-05	1.9234985399e-21	0.0999086177592	1.80038480676e-26	0.000190948509369	0.0144472709148	2.14779983845e-07	7.97872516896e-10	5.64990158815e-06
NOTC1	5	2.03623345201e-07	0.0115295215118	0.0292326916281	2.79585771832e-10	3.55317471141e-09	3.71246223952e-06	0.0173860144587	4.64692314177e-07	0.252884754833	1.55053698611e-16	6.60791841644e-13	0.0050765881537	4.37684434156e-07	5.23951169082e-12	6.95429906412e-11
CCND1	1	4.65467920685e-11	0.0180136300969	0.138254137866	1.89640372293e-16	1.86715358287e-09	3.24513198822e-08	0.287310136241	5.03746712876e-07	0.000393412506723	3.20373782671e-29	1.23431884783e-20	6.9547497661e-05	1.6394763004e-09	1.79983917262e-20	1.69479812195e-19
MAX	7	3.73228465426e-14	7.29470071946e-09	0.0899593792162	1.60487268196e-37	5.65703525605e-22	1.41278154217e-22	0.494269485272	2.38100616422e-10	1.68799430882e-07	5.32225910312e-30	4.65635481751e-12	0.18787167888	1.2844579499e-07	8.34875853823e-19	1.21912358267e-16
