TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NELFB	1	1.81238931789e-13	3.26262602379e-05	0.0382447692033	5.35623468638e-39	6.56602332593e-22	1.97732526884e-22	0.403432496536	2.30183481335e-13	0.000816476967794	1.02603529814e-28	1.05792503797e-08	0.0948030967325	2.12701365453e-05	2.16495086088e-19	1.32341004028e-15
NELFA	4	0.0172701447586	0.347277945673	0.435987422403	0.000859793292729	0.0729766335763	0.00484490960163	0.395975680303	0.11135911397	0.231818114312	0.00210090162983	0.00273494171023	0.053401705345	0.00424520031439	0.00185757180537	0.000184431289413
MEN1	3	4.10335370074e-09	0.00107207500619	0.00431530026665	5.97806683066e-28	2.56834750835e-15	6.52255009504e-14	0.395975680303	4.34151665835e-09	0.00470767394348	8.73317142905e-20	2.92802052494e-05	0.0714204949612	0.00891683296434	2.91737092044e-11	2.15372172525e-09
NELFE	2	2.97220584521e-13	4.83441342995e-06	0.0022390314969	1.2439547603e-34	2.05888079038e-21	6.50112729547e-29	0.154469730091	1.69230364012e-15	0.000227163199524	2.27820231649e-30	2.19663696146e-05	0.012439445898	2.20800439093e-07	7.89731505945e-17	3.6139760052e-07
HSF2	3	0.324132229063	0.280895918587	0.383332944957	0.0331148442691	0.457695008738	0.483227529224	0.432994864176	0.498586270506	0.458234484517	0.293486655768	0.361895540346	0.322807528988	0.248763373377	0.42438528454	0.500340959308
LHX2	2	0.000760856960299	0.0363540596098	0.0772070676668	0.00273469117627	2.73664218248e-09	2.98181552403e-07	0.00929149203476	8.07518391762e-07	0.0201445305291	0.000138762069474	0.00128949311136	0.478238866947	0.210945455086	0.000179155482858	0.00711697151511
LHX3	2	0.0597964625244	0.453210804608	0.455005927556	0.0290072316212	0.00969054861681	0.31753070135	0.111877947413	0.443087421574	0.109956050282	0.00477541005977	0.00279249750756	0.0753764284778	0.0559268621874	0.0242765070624	0.0545758488651
NR0B1	3	0.0556422589214	0.483893471598	0.157746722208	0.109745589191	0.0494147221179	0.302637538605	0.255555559486	0.157036167267	0.0757145799262	0.00367761537995	0.00512187176294	0.188681394932	0.0520366493087	0.0145993214741	0.00265313644482
STA5A	22	3.13274502927e-09	0.000289588136392	0.226180976767	5.51774740257e-32	1.18360728668e-21	6.43061703864e-16	0.0686369614283	8.42566736167e-27	0.0115646694161	5.58361258902e-05	0.045815249394	3.78862692385e-11	0.200982522639	0.0697081223475	0.351032500411
STA5B	17	3.87623902585e-14	1.22817764719e-06	0.486024164658	3.18368603155e-42	1.00147025416e-24	2.30273414926e-27	1.3189103333e-06	3.07141119178e-38	0.000582411160329	0.00511037155937	1.26515360417e-08	1.06819879271e-24	0.0560172739251	0.290573609795	1.48733116694e-07
KDM2A	2	6.85416919866e-12	0.434535563229	0.0382447692033	2.82889450372e-18	1.41875307464e-06	0.000424902937323	0.279913434278	2.7167260239e-07	0.000197045191223	1.02489071797e-34	2.32568440438e-23	2.18582786153e-05	2.55821527964e-10	1.14844740915e-24	7.77014096895e-23
KDM2B	14	1.00666802829e-13	0.100393563631	0.384666475641	2.5632853285e-18	3.03352752209e-12	1.33736163954e-06	0.425053895523	1.58682682513e-07	0.00538831561552	1.92726093108e-34	1.1297182467e-29	3.55458451966e-07	8.97660780974e-12	5.87559825805e-28	1.8421860367e-29
WDR5	4	2.67089693226e-11	0.00395991435297	0.00678042134002	6.82484453867e-29	2.05076569787e-13	7.37748703881e-10	0.453757418661	6.76729981495e-08	6.62303977234e-06	4.24138156956e-29	9.86433391998e-14	0.326703467264	5.04914686846e-07	1.46229927056e-17	1.65219168462e-16
PIT1	3	2.54040387199e-10	1.88839067392e-07	0.504151710394	1.07593306984e-19	1.14086417872e-14	6.09132568584e-18	0.0629076008897	1.766396144e-07	2.71560392779e-05	1.80890204477e-21	1.96512318298e-08	0.404301914173	7.37698624005e-05	3.27316604235e-17	6.25517285707e-16
EHF	1	5.95044696971e-07	0.114663094953	0.129025547068	6.19895215813e-10	0.0231376591142	0.412283180142	0.424597661726	0.00107638157438	0.00561740113772	1.76764162129e-18	2.28116468152e-14	7.81377736582e-06	5.46335555986e-07	1.33978116909e-13	1.34702929715e-13
GATA6	6	0.00185614353954	0.0840359132869	0.163804205642	9.33584171282e-05	0.000114335267033	0.0122342030417	0.427873469374	0.00455147368337	0.0348511013934	6.60878041959e-05	0.000419432507831	0.134751592956	0.0120617134636	0.000140204054155	7.47638518862e-09
GATA4	15	2.03940933867e-13	0.113209996495	0.0299840216618	1.70214126349e-19	2.11074581281e-13	4.03071963757e-06	0.388270336636	1.8728278024e-11	0.00435339404682	1.62377664267e-38	1.25556971865e-24	0.0312589000803	1.01895338859e-09	2.93927411771e-28	7.24899167075e-26
GATA2	22	8.16773268103e-06	0.00760316202247	0.102243749244	3.34259766616e-14	4.39280643971e-10	3.64180217843e-15	0.00520474179841	2.9974291041e-14	0.436807258895	2.32282566529e-06	0.34414617611	0.00018517719127	0.003851752648	0.00749850373405	0.485545199669
GATA3	19	0.000106108268251	0.00134397066299	0.255543073391	4.12662700442e-11	9.53570618036e-08	5.6726217761e-05	0.000702304264755	5.40284326294e-11	0.12961777397	0.1197928981	0.0042931180121	3.85415827469e-07	0.120173375886	0.47208147514	5.40919289396e-06
GATA1	49	1.80066877075e-11	7.29653909182e-05	0.406914803795	6.75246670871e-26	4.91601958625e-15	5.31413302749e-34	0.000607749100341	2.07921032646e-20	0.158596197422	1.11969137297e-25	0.000361210930222	0.0348886223155	9.55981496722e-07	2.29262102956e-09	1.1606585163e-05
NOTC1	5	5.61243980125e-07	0.0259128849819	0.0804341939343	5.51878001791e-10	8.86341384054e-09	8.02598979401e-06	0.0686369614283	1.12218250339e-06	0.314547064915	4.600939815e-16	3.48836623379e-12	0.0139113909178	1.86637536082e-06	1.67516782228e-11	2.22341674304e-10
CCND1	1	1.84244715889e-10	0.0380380840186	0.228245013058	5.03489643399e-16	4.81640753764e-09	8.46718346351e-08	0.423306881586	1.21005824151e-06	0.00145210795164	2.42416162221e-28	1.86793585638e-19	0.000315745639381	1.48864448076e-08	1.45915532923e-19	1.26137433994e-18
MAX	7	2.00072056207e-13	1.65589706332e-07	0.171603185564	2.27691311754e-36	5.97277675871e-21	1.05148003303e-21	0.499361202119	8.31520614274e-10	1.78220794466e-06	4.55906723173e-29	2.15712763995e-11	0.260688053505	6.07441572141e-07	5.57402408288e-18	6.30863107004e-16
MAZ	2	3.08005806056e-09	0.445583348481	0.171603185564	2.77079355589e-21	2.60338848885e-09	9.11829826885e-10	0.171183461953	5.58967857878e-19	0.177730875007	3.59723422054e-25	4.97578013103e-07	0.269446761807	1.10817020589e-09	2.39194798887e-14	6.32471289176e-07
AHR	11	0.0815320924321	0.0232321960358	0.0017751232219	0.00166484382756	0.0834958646895	0.0224372567264	0.488681937306	0.492596007262	0.117060751489	0.261127937808	0.237875742078	0.251877203824	0.120173375886	0.443746378254	0.189674661435
CSN1	2	6.73921674559e-12	0.23923341995	0.0529804661216	2.66376712672e-23	1.17847692261e-09	4.69641483955e-08	0.126243173852	1.95672771048e-08	2.99562777191e-06	9.5390503066e-33	1.16925741477e-16	0.0316993726769	2.18235887879e-08	9.70281350706e-24	3.85030014769e-22
MAF	6	8.72104261523e-10	0.000309181724797	0.265863629292	2.68364108416e-27	2.24180722494e-19	2.11458921273e-22	6.17876986787e-05	1.65324837565e-23	0.166383648251	5.64045615865e-05	0.00069784705615	6.79110834897e-15	0.0927241434833	0.317340216207	1.05305830796e-05
CTCF	116	1.62391287941e-11	0.00124144633113	7.6565812495e-05	3.21215764931e-19	6.24111403188e-15	1.06426867939e-13	0.000513246786506	2.5521895949e-17	0.187989470397	1.57773207755e-25	1.60459464028e-15	0.12631890956	5.29201930382e-07	3.32649742147e-16	3.1546908292e-16
ATF7	1	0.00271942467934	0.193418432077	0.245737244489	6.11572093258e-07	0.000150281185813	0.0232103726002	0.281822298529	1.6693479002e-05	0.312925656974	0.000118648377726	0.0126132206528	0.341023152784	0.0122023818341	0.000162589908394	8.0039066561e-06
BACH2	1	0.000203751865831	0.0866441435323	0.17697777238	9.66338518782e-11	2.5247374735e-05	1.03595948308e-05	0.0448776345483	2.19596145066e-08	0.173239227463	0.434722565596	1.49684017846e-05	1.53928884706e-08	0.382378048831	0.0530045843057	1.58219884976e-06
SOX17	8	4.11947981076e-06	8.12340316112e-05	0.167021174635	1.26467494915e-19	1.28043689685e-07	0.000176323225948	0.38125556227	0.00143447486039	1.09480434754e-07	1.85224788616e-10	6.12010443288e-05	0.260688053505	0.00062290645725	2.32591372258e-07	4.08127627604e-07
ZIC2	2	4.53573898043e-05	0.320495562653	0.144966659982	1.68526141076e-07	0.00821753507555	0.232571365429	0.407362977427	0.0158350746555	0.0140470266648	1.31114384596e-11	2.82173190898e-10	0.000347713487179	6.56832762568e-06	1.31368543035e-08	1.03632893215e-09
ZIC3	2	0.195562607186	0.307220465285	0.335116884727	0.352868826897	0.388728753482	0.385198953638	0.381682767971	0.420038041698	0.423966396962	0.0931971812389	0.0333762597563	0.213304332065	0.122925752985	0.0920598297214	0.043105647174
DMAP1	2	2.05329552059e-10	3.96056830581e-06	0.00722745854495	4.94163316654e-27	7.9729664376e-16	2.57547522403e-16	0.381023061166	0.000147105739441	2.85270749619e-08	1.71837050714e-22	1.43786983223e-08	0.311927875972	2.78582509856e-05	5.74061867507e-15	4.13607365931e-11
NFIL3	1	0.0120166220735	0.000140163431338	0.0012097813974	0.401647263252	0.000396452083422	0.00307208950618	0.0195447371007	0.0160381779624	0.306360096817	0.324876865089	0.121201471155	0.108316173595	0.308550256182	0.0636821241534	1.96093019817e-06
NR1H2	1	0.116017572174	0.220417027967	0.415672744953	0.0431678637693	0.00995783971918	0.00917625600644	0.461330904996	0.0148998485285	0.452057292491	0.107477355337	0.335993733039	0.275956320299	0.178920035318	0.161047388727	0.248230922739
PEBB	5	1.49400012944e-06	0.335472142637	0.0131672065222	4.01100366226e-14	7.81499951976e-08	3.12325789656e-07	0.453757418661	2.53198019769e-11	0.00628037483464	1.68450421328e-18	0.000264260031422	0.357690374849	6.35577030946e-08	1.01001935302e-09	0.0865347584529
PPARA	4	2.23875042563e-08	3.53440439511e-08	2.38557054977e-06	9.26123059066e-05	9.38753645481e-17	1.33748542154e-16	0.0195447371007	1.58641939293e-11	0.167434334293	3.71890652911e-05	2.85288266364e-06	0.00929647392255	0.000620407875443	2.64939098619e-09	9.62783187423e-22
ING1	2	2.50736316185e-14	0.0151368197202	4.57627602256e-07	9.58462219279e-43	4.77003242801e-15	1.2026902338e-11	0.160762069353	4.286316144e-09	9.7948219706e-11	7.1198205113e-41	6.05856010664e-13	0.155364531993	4.5045690738e-07	1.48595774076e-22	3.36612327822e-15
PHX2A	1	0.208374827445	0.483893471598	0.313459740378	0.116799283288	0.250644561707	0.453648050491	0.338818927669	0.498586270506	0.0908538972737	0.0685292700449	0.151764572041	0.309560680347	0.368468339803	0.0890038641949	0.0891315828886
PSIP1	3	0.247282455503	0.301052703392	0.194245604921	0.383697507884	0.190610642817	0.388152257313	0.453757418661	0.420038041698	0.447708578286	0.0627284851538	0.119360022897	0.241880492449	0.261648939286	0.237843827137	0.200230905651
TFAP4	1	3.97421824638e-10	0.000180648404389	0.24768495767	4.47188881679e-24	2.56214726887e-18	1.7143877844e-20	0.0031133828878	1.17355116141e-16	0.48183161016	1.32208276369e-20	4.0567433889e-05	0.168550811655	3.05023688369e-07	4.96784410343e-13	0.000115687827206
PTF1A	8	2.5023199213e-05	0.0947463387503	0.0351330087678	0.00104649034213	0.00241931744414	0.0140815323097	0.432941530278	0.00080525261403	0.456441919145	1.27483514122e-08	1.53106237473e-13	1.29684459856e-06	0.000133005088443	1.01381451322e-08	5.85511416031e-13
RING2	44	6.1316600068e-11	0.110230772162	0.339761028159	2.2727152182e-10	6.88492958881e-05	0.0116791184886	0.460059841142	0.00378987622736	0.0348675440217	5.56226739123e-23	4.65322126804e-31	2.9538513634e-13	2.12524886859e-11	8.86372998227e-19	1.77206927206e-28
RING1	2	1.2966579942e-08	0.00100033210219	0.433419388999	2.01420581815e-14	1.57494255957e-11	1.71244075463e-07	0.48054509429	0.000243435324423	0.00155107060598	1.34376964073e-19	8.27406301175e-14	0.0789057337108	8.50339758508e-07	1.88838431034e-15	6.30863107004e-16
PRDM4	4	0.173102617416	0.301712601253	0.41140867739	0.0104774194433	0.315222224827	0.453648050491	0.496177424851	0.197080513467	0.114787524222	0.0931971812389	0.16914931852	0.476515171986	0.130948061804	0.0802161466756	0.131676347668
PRDM5	1	0.154477520889	0.401433710372	0.394479537092	0.444456305043	0.357002895045	0.199406527053	0.407362977427	0.498586270506	0.168621026925	0.0178278264491	0.014849828592	0.174162279778	0.108459070306	0.0696076956502	0.0737742668248
CBP	14	1.02642808946e-08	0.00124144633113	0.0059965120002	1.65339498189e-19	4.04751428206e-18	5.71248236686e-12	0.395975680303	1.09378010818e-16	0.257778519138	3.7996686925e-10	1.05625683975e-06	0.369181347621	0.00128069853345	3.21129197533e-08	7.44142115601e-17
PRDM1	3	0.0406317759856	0.0285575872107	0.165581250165	0.00211952783336	0.000755311983872	0.0802576429838	0.157175226264	1.92614378523e-05	0.0183489083854	0.220467246849	0.419515927705	0.303520216542	0.28202466061	0.307294361971	0.407128816252
TF2L1	1	0.00030403822816	0.123644898702	0.129654492464	6.91467534854e-07	5.00410214653e-06	0.000901646564442	0.499361202119	0.0218677334796	0.0230604322929	3.34080404768e-09	7.03423211705e-07	0.0814518907244	0.00467736317784	1.07574227949e-05	4.75480186061e-07
PRDM9	1	0.315395570277	0.457776483911	0.310443974748	0.387512424183	0.248260413083	0.416043200467	0.38125556227	0.12019250071	0.212275258627	0.359235747169	0.30743748151	0.349038930888	0.372782790989	0.390477212921	0.310423995927
ASH2L	2	2.93357406137e-12	1.2007409667e-09	0.00116079609926	7.979975871e-33	8.78085213104e-27	5.77915609085e-35	0.0106699906992	8.7637312299e-19	0.0695065685399	2.03739416286e-17	0.31261372055	1.00159131403e-07	0.00193785647178	1.87749791062e-08	0.0410579452186
SMAD4	2	0.0156630537919	0.0704934831167	0.00537019251314	0.000310897294385	0.00337383677779	0.0112297546988	0.021300416609	2.41780479472e-05	0.0955547140249	0.0121741510624	0.0284128630301	0.453018905934	0.180840303146	0.0832259350115	0.10335575826
SMAD5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TLE1	1	0.21679152987	0.42250682763	0.226101199297	0.47389735476	0.421439271342	0.0681489515941	0.464890941871	0.198771479471	0.317055564903	0.320774992048	0.155075275513	0.0419836665035	0.368468339803	0.0696076956502	0.248230922739
SMAD1	8	0.0385250604022	0.249052380576	0.310443974748	0.000531587589601	0.0010488611792	0.0855746011617	0.380467383312	0.172443649424	0.00153687147658	0.000166017363807	0.132131935266	0.241880492449	0.449247236424	0.0610228430367	0.293192423212
SMAD2	2	0.227840230566	0.468473696955	0.18045640416	0.356773464832	0.476098317031	0.302637538605	0.484957254261	0.365281386604	0.374307095477	0.197755799854	0.132391634579	0.200551949157	0.203950059504	0.0859246461681	0.0383123638265
SMAD3	11	4.9792712417e-11	0.0429178075665	0.156075702227	4.80014472698e-20	2.13000808143e-12	5.18263048912e-06	0.484957254261	1.44159948952e-08	0.00125527570438	1.84638233176e-29	3.84124568791e-18	0.0139113909178	6.08773988174e-07	2.71514752093e-22	1.13360390794e-19
REL	5	1.22403195142e-06	0.00523957495917	3.52069109646e-05	5.86002649547e-13	1.3964317932e-05	1.52161052242e-09	0.00915307766022	2.22431555651e-08	0.0329994393122	0.000804139797514	9.21440136367e-10	1.6602110485e-13	0.0128586299375	8.65549403425e-06	8.02108511854e-08
UTF1	3	1.3709884544e-07	0.0285389990905	0.00459180605745	1.19798051647e-09	7.08523898228e-09	1.96362718037e-06	0.0715437925694	1.11676578507e-06	0.471061530283	1.65158906494e-14	3.15065203453e-15	0.00142147561998	2.56749938957e-06	3.61493243163e-12	1.46866759039e-14
NCOA3	1	0.361626921682	0.291820110382	0.365820001093	0.442175183761	0.435173802245	0.461143484887	0.402816442973	0.198771479471	0.16689940489	0.391208147989	0.465667329962	0.49198940484	0.43161570918	0.328087865659	0.407128816252
NCOA1	1	0.0216448916515	0.00322253966113	0.0016617446977	0.00455254309488	0.12649619707	0.00278745399053	0.00810214062955	0.430565440882	0.0013010341371	0.00113825861778	0.0855862297214	0.214242374004	0.0932619493598	0.164185029657	0.397336182826
KANL3	4	2.32258248929e-16	1.16871113736e-05	1.57433146294e-05	1.06885391262e-30	1.77064503217e-17	2.86955273084e-22	0.2431573226	1.45681732362e-09	2.74285653161e-09	1.57026638996e-44	4.77270450929e-17	0.274387743376	2.06374410237e-09	2.20556212517e-32	1.46270035817e-22
