TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NELFB	1	0.189859667782	4.43980258829	-2.27788250083	13.2665683456	9.82086915352	9.89689562999	0.661817730428	7.45279773571	-3.541205513	-11.2594922762	-5.81908594329	1.64380746262	-4.35615237874	-9.16330274808	-8.10740193699
NELFA	4	-0.607146869498	0.594455190979	-0.287159845078	3.26132295586	1.58488124119	2.75697319208	0.693419548287	1.37301399982	-0.950246465197	-2.98044675935	-2.95588924479	-1.96433667831	-2.8477313368	-3.05488407941	-3.72342789225
MEN1	3	0.266221574114	3.45686969935	-3.21463359763	11.088472752	8.01609393429	7.60058937737	0.703429538849	5.94884651438	-2.95906223326	-9.18614055427	-4.19999849269	1.82123509855	-2.57149464328	-6.72195393008	-6.05515142601
NELFE	2	0.60894021101	4.90168416584	-3.46441218101	12.4466733524	9.69950580461	11.3523006228	1.63822453799	8.10375147116	-3.90885841707	-11.6221803988	-4.26894521711	2.6191304196	-5.3788812359	-8.4609251857	-5.13190478472
HSF2	3	0.186029206027	0.845502766629	0.482353477708	1.96310406302	0.13689846569	-0.0661528568383	0.450910332389	-0.0173216735155	-0.16630229745	0.628543360728	-0.403117101458	-0.665422633376	-0.831027369857	0.234014991838	0.0124253588709
LHX2	2	-1.0119202594	-2.12036809651	-1.91409262288	-2.89951550141	-6.02151160725	-5.17868546512	-2.99809737834	-4.99116465588	-2.39780106375	3.76063449717	3.18967895729	0.102559748085	0.959713236796	3.72802686391	2.6137394563
LHX3	2	-0.911511858113	0.196121219585	-0.217505145452	2.01660702831	2.48830394927	-0.587778124242	-1.83218817561	-0.185319164401	-1.54462035301	-2.70595902693	-2.94584972123	-1.79317670932	-1.78023654785	-2.11720971009	-1.75235553261
NR0B1	3	-0.740676694617	0.0832218373393	1.43743914723	1.34747965611	1.78976771575	0.640202740344	-1.24313602346	1.14950196576	-1.76660122653	-2.7961056716	-2.74082361592	-1.17881483577	-1.81449335623	-2.3285926696	-2.94851938806
STA5A	22	3.7325923663	3.85449185938	1.10457754141	11.9280211025	9.75634435662	8.19538226271	2.11220721457	10.9551540701	2.62540767135	-3.98693565375	1.85382416628	6.90018536794	-0.995253444928	-1.60548949769	-0.441623888411
STA5B	17	5.75619197239	5.21658157099	-0.0780473510001	13.8610232142	10.5073046591	11.0125612926	5.37719489279	13.2213092325	3.64370529311	-2.67926038124	5.78494230084	10.5544230371	-1.77742732592	0.64183938608	5.30053779235
KDM2A	2	-2.8468548276	-0.275507226219	-2.28027792846	8.78045300537	4.83206551473	3.50231595129	-1.17081792	5.18961554344	-3.95584503829	-12.516398378	-10.2222272895	-4.48554155346	-6.71656771219	-10.4840390016	-10.0531955535
KDM2B	14	-2.41629697083	1.59967205375	0.465801594925	8.78822803056	7.05265500195	4.8631645105	0.510250758905	5.29972079358	-2.91075376577	-12.4455578319	-11.5878490994	-5.36173065099	-7.2743706791	-11.2428446901	-11.5845436187
WDR5	4	-1.18049711999	3.03290910524	-3.01532790715	11.2862143827	7.43270278253	6.23659014063	-0.328299786192	5.45714370163	-4.79182181175	-11.3441984867	-7.59686494782	-0.650238868151	-5.20282731996	-8.66916241783	-8.37377824699
PIT1	3	-0.464861556163	5.63111414501	-0.000727325623182	9.16317723381	7.82231007679	8.76046414848	-2.15683344471	5.27882854027	-4.47319006367	-9.61205645757	-5.70700767014	-0.378181971138	-4.04644478568	-8.57620971029	-8.21330450181
EHF	1	-2.63012605692	-1.52096380376	-1.58201406074	6.18807125733	2.14211674986	-0.287530814158	-0.525053492391	3.22992835501	-2.89614521194	-8.84963061572	-7.80377805018	-4.72741072674	-5.18207986072	-7.49673085201	-7.51054367069
GATA6	6	-0.544649435282	1.70374941596	1.39323845863	3.85350082407	3.83092218605	2.42064205205	-0.486055398474	2.76492628065	-2.14380401406	-3.94512330614	-3.51246794312	-1.41637747651	-2.44916183613	-3.7902385229	-5.84884281401
GATA4	15	-2.22043685233	1.5293987233	-2.38599770605	9.10009314363	7.42690816557	4.6308468134	-0.738677556998	6.82072924591	-2.98914489997	-13.2286173045	-10.5022248901	-2.23844251757	-6.42935448356	-11.3275132542	-10.7541194115
GATA2	22	2.20479356698	2.77343152879	1.7327992189	7.61514233523	6.29733958813	7.98261037885	3.20032347584	7.73571401062	0.277695626565	-4.70127173659	-0.470139720337	3.95064584741	-2.87827179149	-2.58045183383	-0.0684569903714
GATA3	19	2.89738219681	3.38496136775	-0.964747290041	6.62164080124	5.36758358044	4.0289083931	3.85366124105	6.67369439621	1.42315845563	-1.27866930294	2.80246959995	5.34573436567	-1.35517719716	0.0961980958618	4.56393424861
GATA1	49	1.44345578927	4.24270239423	0.393807747584	10.629700248	7.92916155055	12.3990006048	3.89936454382	9.4468323235	-1.28211270793	-10.5965218586	-3.55286274668	2.18507226244	-5.05696423165	-6.03706401653	-4.39173506376
NOTC1	5	-0.642025664067	2.27259104139	1.89227628486	6.20390730991	5.79033580353	4.48204603865	2.11111517504	4.90722476719	-0.665448689541	-8.17470895046	-7.09556551825	-2.57075825017	-4.91896956117	-6.80288649195	-6.41951825597
