TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NELFB	1	1.81238931939e-13	3.26262604251e-05	0.0382447689531	5.35623471755e-39	6.56602339592e-22	1.97732527908e-22	0.40343249535	2.30183482105e-13	0.0008164769564	1.02603527426e-28	1.05792503946e-08	0.0948030965492	2.12701367385e-05	2.16495086814e-19	1.32341006099e-15
NELFA	4	0.0172701447686	0.347277945788	0.435987421534	0.000859793286584	0.072976633637	0.00484490960739	0.395975680284	0.111359113915	0.231818114471	0.00210090164562	0.00273494170586	0.0534017055556	0.00424520031983	0.00185757180981	0.000184431289636
MEN1	3	4.10335368852e-09	0.00107207499752	0.00431530029745	5.97806664206e-28	2.56834750507e-15	6.52255008633e-14	0.395975680284	4.34151664477e-09	0.00470767391622	8.73317140551e-20	2.92802053355e-05	0.0714204946872	0.00891683297159	2.91737091007e-11	2.15372174401e-09
NELFE	2	2.97220586466e-13	4.83441341127e-06	0.00223903147425	1.24395484374e-34	2.05888082142e-21	6.5011273713e-29	0.15446973048	1.69230365824e-15	0.000227163195152	2.27820228749e-30	2.19663697212e-05	0.0124394459019	2.20800442352e-07	7.89731509941e-17	3.61397602521e-07
HSF2	3	0.324132228944	0.280895918609	0.383332945302	0.0331148443323	0.457695009486	0.483227529479	0.432994863576	0.498586270349	0.458234482545	0.293486656173	0.361895540341	0.322807527908	0.248763373302	0.424385284411	0.500340958509
LHX2	2	0.000760856961766	0.0363540595977	0.0772070681888	0.00273469127057	2.73664218268e-09	2.9818155037e-07	0.00929149205171	8.07518381947e-07	0.0201445307397	0.000138762069174	0.00128949311601	0.478238866942	0.210945454512	0.000179155482256	0.00711697149627
LHX3	2	0.0597964626259	0.453210805833	0.455005927574	0.0290072315987	0.00969054861744	0.317530701598	0.11187794766	0.443087420291	0.109956050708	0.00477541005881	0.00279249752465	0.0753764286651	0.0559268625469	0.0242765070777	0.054575848991
NR0B1	3	0.0556422588523	0.483893471868	0.157746719778	0.109745588712	0.0494147221316	0.302637538774	0.255555559612	0.157036167624	0.0757145790125	0.00367761540573	0.00512187175587	0.188681395116	0.0520366493336	0.0145993214836	0.00265313645161
STA5A	22	3.13274503137e-09	0.000289588136606	0.226180977166	5.51774743105e-32	1.18360730016e-21	6.43061706093e-16	0.0686369621346	8.42566732198e-27	0.0115646693236	5.58361257267e-05	0.0458152491684	3.7886268976e-11	0.200982522639	0.0697081224809	0.351032501175
STA5B	17	3.87623902189e-14	1.22817763809e-06	0.48602416213	3.18368612326e-42	1.00147026984e-24	2.30273415594e-27	1.31891033228e-06	3.07141117157e-38	0.000582411160003	0.00511037157266	1.26515359307e-08	1.06819877206e-24	0.0560172738484	0.29057360948	1.48733114732e-07
KDM2A	2	6.85416920593e-12	0.434535563849	0.0382447689531	2.82889445235e-18	1.41875310515e-06	0.000424902934143	0.27991343435	2.71672603574e-07	0.000197045187318	1.02489071493e-34	2.32568440263e-23	2.18582786667e-05	2.55821531632e-10	1.14844742045e-24	7.77014109721e-23
KDM2B	14	1.00666803353e-13	0.100393563124	0.384666475643	2.56328533899e-18	3.0335275976e-12	1.33736163457e-06	0.425053898734	1.586826838e-07	0.00538831556175	1.92726095697e-34	1.1297182577e-29	3.55458454013e-07	8.97660781704e-12	5.87559828101e-28	1.84218606101e-29
WDR5	4	2.67089692848e-11	0.00395991430108	0.0067804212797	6.8248445276e-29	2.05076574477e-13	7.37748700138e-10	0.4537574186	6.76729981166e-08	6.62303965364e-06	4.24138150759e-29	9.86433401272e-14	0.326703467255	5.04914688179e-07	1.46229927829e-17	1.65219168769e-16
PIT1	3	2.54040387745e-10	1.88839067015e-07	0.504151709311	1.07593306578e-19	1.14086418187e-14	6.09132589664e-18	0.0629076002644	1.76639615386e-07	2.71560391653e-05	1.8089020225e-21	1.96512316985e-08	0.404301915244	7.37698634371e-05	3.27316601497e-17	6.25517298087e-16
EHF	1	5.95044698125e-07	0.114663094964	0.129025547476	6.19895231955e-10	0.0231376593639	0.412283180938	0.424597661928	0.00107638157817	0.00561740106734	1.76764161542e-18	2.2811646833e-14	7.81377736766e-06	5.46335551851e-07	1.33978116909e-13	1.34702930191e-13
GATA6	6	0.00185614354362	0.0840359132184	0.163804206293	9.33584158104e-05	0.000114335267517	0.0122342032336	0.427873468094	0.00455147372673	0.0348511014465	6.60878046883e-05	0.000419432505688	0.134751592923	0.0120617135637	0.000140204053941	7.47638522535e-09
GATA4	15	2.03940934607e-13	0.113209996462	0.0299840216857	1.70214132094e-19	2.11074584597e-13	4.03071963047e-06	0.388270336603	1.87282782578e-11	0.00435339402603	1.62377657928e-38	1.25556973294e-24	0.0312589002323	1.0189533798e-09	2.93927412955e-28	7.24899183285e-26
GATA2	22	8.16773270101e-06	0.00760316204421	0.102243748908	3.34259778833e-14	4.39280646183e-10	3.64180216669e-15	0.00520474182455	2.99742911147e-14	0.436807260098	2.32282566425e-06	0.344146175803	0.000185177190214	0.00385175265757	0.00749850368432	0.485545198345
GATA3	19	0.000106108268214	0.00134397066797	0.255543074696	4.12662701488e-11	9.53570616171e-08	5.67262179706e-05	0.000702304260976	5.40284319119e-11	0.129617774213	0.119792898401	0.00429311800671	3.85415824723e-07	0.120173376695	0.472081475272	5.40919288159e-06
GATA1	49	1.80066877761e-11	7.29653896518e-05	0.406914805203	6.7524668234e-26	4.91601956487e-15	5.31413356063e-34	0.000607749095301	2.07921031823e-20	0.158596197744	1.11969133655e-25	0.000361210931466	0.0348886221225	9.55981513041e-07	2.29262099428e-09	1.16065851325e-05
NOTC1	5	5.61243983812e-07	0.0259128849205	0.0804341940507	5.51878021042e-10	8.86341402466e-09	8.02598978764e-06	0.0686369621346	1.1221825022e-06	0.314547065038	4.60093986072e-16	3.48836624924e-12	0.0139113909566	1.86637535749e-06	1.67516782633e-11	2.22341676662e-10
CCND1	1	1.84244716254e-10	0.0380380839385	0.228245012155	5.03489652502e-16	4.81640755361e-09	8.46718341579e-08	0.42330688097	1.21005825803e-06	0.00145210794349	2.4241616118e-28	1.8679358795e-19	0.000315745640189	1.48864447826e-08	1.45915533313e-19	1.26137433971e-18
MAX	7	2.00072055589e-13	1.6558970604e-07	0.171603184221	2.27691302666e-36	5.97277688966e-21	1.05148003043e-21	0.499361202274	8.31520615142e-10	1.78220794817e-06	4.55906719867e-29	2.15712762863e-11	0.260688053221	6.07441567324e-07	5.57402409725e-18	6.30863108546e-16
MAZ	2	3.08005805521e-09	0.445583348282	0.171603184221	2.77079355794e-21	2.6033884903e-09	9.11829827906e-10	0.1711834615	5.58967862725e-19	0.177730872757	3.59723414757e-25	4.97578015993e-07	0.269446760252	1.10817021335e-09	2.39194799041e-14	6.32471289846e-07
AHR	11	0.081532092446	0.023232195706	0.00177512322379	0.00166484382829	0.0834958646734	0.0224372567686	0.488681936983	0.492596006726	0.117060751638	0.261127937753	0.23787574237	0.251877204286	0.120173376695	0.443746378452	0.189674662163
CSN1	2	6.73921675035e-12	0.239233419138	0.0529804659967	2.66376709424e-23	1.1784769404e-09	4.6964148466e-08	0.126243173425	1.95672769575e-08	2.9956277125e-06	9.53905031953e-33	1.16925741625e-16	0.0316993726354	2.18235888685e-08	9.70281363482e-24	3.85030023934e-22
MAF	6	8.72104265593e-10	0.000309181725895	0.265863630796	2.68364107435e-27	2.24180725076e-19	2.11458926284e-22	6.17876997155e-05	1.65324838911e-23	0.166383648132	5.64045619619e-05	0.000697847051656	6.79110831454e-15	0.0927241435957	0.31734021642	1.05305831148e-05
CTCF	116	1.62391288509e-11	0.00124144634499	7.65658137286e-05	3.21215761172e-19	6.24111424113e-15	1.06426868078e-13	0.000513246782046	2.5521895857e-17	0.187989472781	1.57773206877e-25	1.60459464394e-15	0.126318909366	5.29201927831e-07	3.32649743009e-16	3.15469084588e-16
ATF7	1	0.00271942468149	0.193418431539	0.245737243349	6.11572089125e-07	0.000150281186196	0.0232103728334	0.281822298649	1.66934789882e-05	0.312925657484	0.00011864837943	0.0126132206073	0.341023152801	0.0122023818619	0.000162589908519	8.0039066368e-06
BACH2	1	0.000203751865464	0.0866441436638	0.176977771329	9.663384871e-11	2.52473746119e-05	1.03595948667e-05	0.0448776347955	2.19596146708e-08	0.173239226908	0.434722565387	1.49684018166e-05	1.5392888425e-08	0.382378049395	0.0530045842616	1.58219885655e-06
SOX17	8	4.1194797842e-06	8.12340313281e-05	0.167021173895	1.26467488651e-19	1.28043690975e-07	0.000176323224362	0.381255558993	0.00143447486529	1.09480430659e-07	1.85224787157e-10	6.12010442172e-05	0.260688053221	0.000622906455579	2.32591373717e-07	4.08127634087e-07
ZIC2	2	4.53573898446e-05	0.320495561982	0.144966659963	1.68526143967e-07	0.00821753519608	0.232571365491	0.407362975994	0.0158350747137	0.0140470264361	1.31114385061e-11	2.8217319128e-10	0.000347713489786	6.5683275624e-06	1.3136854259e-08	1.03632893146e-09
ZIC3	2	0.195562607155	0.307220465249	0.335116884076	0.352868826666	0.388728753943	0.385198954312	0.381682767889	0.42003804128	0.423966397178	0.0931971812731	0.0333762596954	0.213304332375	0.122925752979	0.0920598298489	0.0431056470407
DMAP1	2	2.05329552059e-10	3.96056826453e-06	0.00722745849667	4.94163323073e-27	7.97296646821e-16	2.5754751988e-16	0.381023062434	0.000147105739555	2.85270746804e-08	1.71837052391e-22	1.43786983263e-08	0.311927875746	2.78582510131e-05	5.74061868665e-15	4.13607367379e-11
NFIL3	1	0.0120166220646	0.000140163432364	0.00120978138947	0.401647262521	0.000396452081906	0.0030720894995	0.0195447368475	0.0160381780048	0.30636009602	0.324876865794	0.121201471134	0.108316173744	0.308550255903	0.0636821240931	1.96093021402e-06
NR1H2	1	0.116017572194	0.220417028424	0.415672744822	0.0431678635815	0.00995783971095	0.00917625601984	0.461330905687	0.0148998485645	0.452057292228	0.107477355871	0.33599373268	0.275956320206	0.178920034991	0.161047388527	0.248230922867
