TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
NELFB	1	0.189859667187	4.43980258705	-2.27788250332	13.2665683451	9.82086915244	9.89689562947	0.661817728624	7.45279773527	-3.54120551669	-11.2594922783	-5.81908594305	1.64380746355	-4.35615237674	-9.16330274772	-8.10740193508
NELFA	4	-0.607146869348	0.594455190707	-0.287159847094	3.2613229579	1.58488124078	2.75697319169	0.693419547316	1.37301399855	-0.950246464735	-2.98044675704	-2.95588924529	-1.96433667663	-2.84773133639	-3.05488407869	-3.72342789195
MEN1	3	0.26622157436	3.45686970153	-3.21463359921	11.0884727549	8.01609393445	7.60058937754	0.703429536518	5.9488465149	-2.95906223504	-9.18614055456	-4.19999849203	1.82123510028	-2.571494643	-6.7219539306	-6.0551514246
NELFE	2	0.608940210032	4.9016841666	-3.46441218374	12.446673347	9.69950580306	11.3523006211	1.63822453677	8.10375146985	-3.90885842172	-11.6221803999	-4.26894521602	2.61913041949	-5.37888123324	-8.4609251851	-5.13190478367
HSF2	3	0.186029205292	0.845502766572	0.482353476909	1.9631040622	0.136898463848	-0.0661528562091	0.450910333643	-0.0173216739057	-0.166302302201	0.628543359611	-0.40311710147	-0.665422636028	-0.831027370076	0.234014992156	0.0124253590453
LHX2	2	-1.01192025891	-2.12036809665	-1.91409262156	-2.89951549055	-6.02151160724	-5.17868546641	-2.99809738396	-4.99116465826	-2.39780105991	3.76063449772	3.18967895625	0.102559745291	0.959713238621	3.72802686476	2.6137394572
LHX3	2	-0.911511857788	0.196121216669	-0.217505145411	2.01660702864	2.48830394925	-0.587778123593	-1.83218817462	-0.185319167551	-1.54462035105	-2.70595902758	-2.94584971933	-1.79317670819	-1.78023654489	-2.11720970984	-1.75235553154
NR0B1	3	-0.740676694832	0.0832218366847	1.43743914701	1.34747965852	1.78976771562	0.64020273894	-1.24313602317	1.14950196438	-1.76660123211	-2.79610566933	-2.74082361637	-1.17881483519	-1.81449335601	-2.32859266936	-2.94851938727
STA5A	22	3.73259236645	3.85449186209	1.10457753615	11.9280211021	9.75634435546	8.19538226229	2.11220721272	10.9551540705	2.62540767408	-3.98693565444	1.85382416848	6.90018536893	-0.995253444929	-1.60548949674	-0.44162388643
STA5B	17	5.7561919721	5.21658157236	-0.078047357134	13.8610232121	10.5073046576	11.0125612923	5.37719488996	13.221309233	3.64370529325	-2.67926038037	5.78494230232	10.5544230389	-1.77742732655	0.641839386949	5.30053779476
KDM2A	2	-2.84685482736	-0.275507224763	-2.28027792829	8.78045300742	4.83206551044	3.50231595329	-1.17081791984	5.18961554263	-3.95584504051	-12.5163983783	-10.2222272896	-4.48554155295	-6.71656771009	-10.4840390007	-10.0531955518
KDM2B	14	-2.41629697113	1.59967205624	0.465801592223	8.7882280301	7.05265499848	4.86316451124	0.510250758142	5.2997207921	-2.91075376889	-12.4455578308	-11.5878490985	-5.36173064995	-7.27437067899	-11.2428446897	-11.5845436175
WDR5	4	-1.18049712026	3.0329091092	-3.01532790773	11.2862143829	7.4327027795	6.23659014142	-0.328299788506	5.45714370172	-4.79182181535	-11.344198488	-7.59686494761	-0.650238867754	-5.20282731947	-8.66916241723	-8.37377824677
PIT1	3	-0.464861556537	5.63111414535	-0.000727328313979	9.16317723422	7.82231007644	8.76046414456	-2.15683344867	5.27882853925	-4.47319006456	-9.61205645885	-5.70700767128	-0.378181968624	-4.04644478238	-8.57620970923	-8.21330449942
EHF	1	-2.63012605787	-1.52096380372	-1.58201405916	6.18807125321	2.14211674554	-0.287530812206	-0.525053493404	3.229928354	-2.89614521588	-8.84963061779	-7.80377805008	-4.7274107267	-5.18207986214	-7.49673085171	-7.51054367022
GATA6	6	-0.544649435454	1.70374941634	1.39323845853	3.85350082753	3.830922185	2.42064204634	-0.486055397747	2.76492627618	-2.14380401345	-3.94512330435	-3.51246794448	-1.41637747664	-2.44916183314	-3.79023852328	-5.84884281319
GATA4	15	-2.22043685286	1.52939872345	-2.38599770576	9.10009313996	7.42690816348	4.63084681377	-0.738677557062	6.82072924411	-2.98914490143	-13.2286173074	-10.5022248891	-2.23844251569	-6.42935448487	-11.3275132541	-10.7541194094
GATA2	22	2.20479356658	2.77343153436	1.732799217	7.61514233521	6.29733958734	7.98261037925	3.20032347439	7.7357140103	0.277695623762	-4.70127173668	-0.470139721135	3.95064584878	-2.87827179071	-2.58045183612	-0.0684569936108
GATA3	19	2.89738219696	3.38496136673	-0.964747291707	6.62164080087	5.3675835808	4.02890839223	3.85366124237	6.67369439817	1.42315845463	-1.27866930151	2.80246960035	5.34573436697	-1.35517719702	0.096198095537	4.56393424909
